slot,status,decode_ok,fcs_pass,predicted_start_native,window_start_native,predicted_start_out,detected_start_out,det_minus_pred,detected_repetitions,timing_metric,clock_error_ppm,cfo_hz,sfd_correlation,phr_secded_pass,psdu_length,fcs_received,fcs_calculated,payload_hex,error_id,error_message
33,success,1,1,125194752,125164752,169534588,169535818,1230,64,0.94261646270752,4.44089209850063e-10,2124.10776711736,0.938946187496185,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
34,success,1,1,128881152,128851152,174526588,174527829,1241,64,0.938800096511841,6.66133814775094e-10,1683.47330131123,0.937760055065155,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
35,success,1,1,132567552,132537552,179518588,179519902,1314,64,0.925643742084503,4.44089209850063e-10,2004.44803477304,0.920039296150208,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
36,success,1,1,136253952,136223952,184510588,184511930,1342,64,0.878814697265625,-1.41959418487048,1844.62322520297,0.87870979309082,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
37,success,1,1,139940352,139910352,189502588,189504022,1434,64,0.941858530044556,6.66133814775094e-10,1890.04125248035,0.941031754016876,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
38,success,1,1,143626752,143596752,194494588,194496022,1434,64,0.934940099716187,6.66133814775094e-10,1981.707050219,0.930810511112213,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
39,success,1,1,147313152,147283152,199486588,199488047,1459,64,0.886225163936615,4.44089209850063e-10,1845.12176950955,0.885618209838867,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
40,success,1,1,150999552,150969552,204478588,204480113,1525,64,0.95421028137207,4.44089209850063e-10,2101.78988995682,0.953301787376404,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
41,fcs_or_payload_failed,1,0,154685952,154655952,209470588,209472154,1566,64,0.8752720952034,-21.0685803692101,2189.33218900108,0.874181926250458,1,54,19986,21147,2D00003200000000090004E80300000104D00700000204C20100000304EE020000440010CD2002270010120288040C3098018408124E,,
42,success,1,1,158372352,158342352,214462588,214464208,1620,64,0.929811656475067,4.44089209850063e-10,1713.60950149141,0.928197860717773,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
43,success,1,1,162058752,162028752,219454588,219456235,1647,64,0.937254905700684,4.44089209850063e-10,1868.00567207023,0.93287855386734,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
44,success,1,1,165745152,165715152,224446588,224448225,1637,64,0.91103321313858,4.44089209850063e-10,1744.05089958828,0.90473473072052,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
45,success,1,1,169431552,169401552,229438588,229440306,1718,64,0.944673001766205,4.44089209850063e-10,1829.77822370722,0.943625509738922,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
46,success,1,1,173117952,173087952,234430588,234432327,1739,64,0.920120418071747,2.22044604925031e-10,1318.83584619597,0.91328752040863,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
47,success,1,1,176804352,176774352,239422588,239424421,1833,64,0.926451623439789,4.44089209850063e-10,2097.45119793343,0.925424873828888,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
48,success,1,1,180490752,180460752,244414588,244416448,1860,64,0.952702224254608,4.44089209850063e-10,1762.24459129391,0.951829791069031,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
49,success,1,1,184177152,184147152,249406588,249408471,1883,64,0.897491753101349,2.22044604925031e-10,2111.35068446487,0.890147984027863,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
50,success,1,1,187863552,187833552,254398588,254400481,1893,64,0.942233800888062,4.44089209850063e-10,2144.44075027131,0.941132724285126,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
51,success,1,1,191549952,191519952,259390588,259392524,1936,64,0.955142498016357,2.22044604925031e-10,2157.49356383907,0.954039633274078,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
52,success,1,1,195236352,195206352,264382588,264384581,1993,64,0.911275148391724,6.66133814775094e-10,2088.46259575576,0.904615223407745,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
53,success,1,1,198922752,198892752,269374588,269376655,2067,64,0.951824307441711,6.66133814775094e-10,2034.73877699392,0.950740575790405,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
54,success,1,1,202609152,202579152,274366588,274368724,2136,64,0.952628254890442,2.22044604925031e-10,2142.63070994246,0.950694620609283,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
55,success,1,1,206295552,206265552,279358588,279360744,2156,64,0.938325881958008,2.22044604925031e-10,1837.53764430611,0.934317231178284,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
56,success,1,1,209981952,209951952,284350588,284352695,2107,64,0.955300152301788,0,1967.8172126742,0.953965485095978,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
57,success,1,1,213668352,213638352,289342588,289344776,2188,64,0.951447546482086,6.66133814775094e-10,1622.27829725832,0.950854897499084,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
58,success,1,1,217354752,217324752,294334588,294336832,2244,64,0.892489373683929,2.22044604925031e-10,2043.74370912621,0.891439318656921,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
59,success,1,1,221041152,221011152,299326588,299328915,2327,64,0.953781545162201,2.22044604925031e-10,1808.2005811003,0.952737390995026,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
60,success,1,1,224727552,224697552,304318588,304320944,2356,64,0.894562780857086,4.44089209850063e-10,2130.85425812688,0.889128983020782,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
61,success,1,1,228413952,228383952,309310588,309313010,2422,64,0.943777620792389,6.66133814775094e-10,1812.85713715804,0.942194759845734,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
